movieId,title,rank,mean,no,genres
318,"Shawshank Redemption, The (1994)",22.54890566553701,4.429022082018927,1,Crime|Drama
356,Forrest Gump (1994),21.65653495440729,4.164133738601824,2,Comedy|Drama|Romance|War
296,Pulp Fiction (1994),21.481772067647565,4.197068403908795,3,Comedy|Crime|Drama|Thriller
2571,"Matrix, The (1999)",21.0592578568724,4.192446043165468,4,Action|Sci-Fi|Thriller
593,"Silence of the Lambs, The (1991)",20.948566863078,4.161290322580645,5,Crime|Horror|Thriller
260,Star Wars: Episode IV - A New Hope (1977),20.83761548234307,4.231075697211155,6,Action|Adventure|Sci-Fi
2959,Fight Club (1999),20.545303490783084,4.272935779816514,7,Action|Crime|Drama|Thriller
527,Schindler's List (1993),20.38142414860681,4.225,8,Drama|War
858,"Godfather, The (1972)",20.247581269349844,4.2890625,9,Crime|Drama
1196,Star Wars: Episode V - The Empire Strikes Back (1980),20.218596393408948,4.2156398104265405,10,Action|Adventure|Sci-Fi
50,"Usual Suspects, The (1995)",20.209494324045405,4.237745098039215,11,Crime|Mystery|Thriller
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),20.032786377708977,4.2075,12,Action|Adventure
110,Braveheart (1995),19.844848532350984,4.031645569620253,13,Action|Drama|War
1210,Star Wars: Episode VI - Return of the Jedi (1983),19.69807923169268,4.137755102040816,14,Action|Adventure|Sci-Fi
2028,Saving Private Ryan (1998),19.620710098149,4.1462765957446805,15,Action|Drama|War
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",19.59916502486162,4.106060606060606,16,Adventure|Fantasy
2858,American Beauty (1999),19.484004127966976,4.056372549019608,18,Drama|Romance
7153,"Lord of the Rings: The Return of the King, The (2003)",19.46948372521128,4.118918918918919,19,Action|Adventure|Drama|Fantasy
58559,"Dark Knight, The (2008)",19.44528019614769,4.238255033557047,20,Action|Crime|Drama|IMAX
589,Terminator 2: Judgment Day (1991),19.421080274214948,3.970982142857143,21,Action|Sci-Fi
608,Fargo (1996),19.40216889314609,4.116022099447513,22,Comedy|Crime|Drama|Thriller
1197,"Princess Bride, The (1987)",19.324314306894,4.232394366197183,23,Action|Adventure|Comedy|Fantasy|Romance
1221,"Godfather: Part II, The (1974)",19.25238198094415,4.25968992248062,24,Crime|Drama
1213,Goodfellas (1990),19.171826625387,4.25,25,Crime|Drama
47,Seven (a.k.a. Se7en) (1995),19.14605987585597,3.975369458128079,27,Mystery|Thriller
4226,Memento (2000),19.12214498510427,4.122641509433962,28,Mystery|Thriller
5952,"Lord of the Rings: The Two Towers, The (2002)",19.120710098149,4.0212765957446805,29,Adventure|Fantasy
1,Toy Story (1995),19.095485636114912,3.92093023255814,30,Adventure|Animation|Children|Comedy|Fantasy
2329,American History X (1998),19.08183934528524,4.217054263565892,31,Crime|Drama
1193,One Flew Over the Cuckoo's Nest (1975),19.081379920389207,4.203007518796992,32,Drama
1089,Reservoir Dogs (1992),19.050646373454967,4.202290076335878,33,Crime|Mystery|Thriller
457,"Fugitive, The (1993)",19.03188854489164,3.992105263157895,34,Thriller
1136,Monty Python and the Holy Grail (1975),18.958204334365327,4.161764705882353,35,Adventure|Comedy|Fantasy
1270,Back to the Future (1985),18.950808393532853,4.038011695906433,36,Adventure|Comedy|Sci-Fi
48516,"Departed, The (2006)",18.91646653742658,4.252336448598131,38,Crime|Drama|Thriller
7361,Eternal Sunshine of the Spotless Mind (2004),18.88270744215726,4.1603053435114505,39,Drama|Romance|Sci-Fi
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),18.839966806038746,4.268041237113402,40,Comedy|War
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",18.821568627450983,4.183333333333334,41,Comedy|Romance
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),18.81455633100698,3.983050847457627,42,Mystery|Sci-Fi|Thriller
1208,Apocalypse Now (1979),18.785625415931253,4.219626168224299,44,Action|Drama|War
912,Casablanca (1942),18.76959752321981,4.24,45,Drama|Romance
480,Jurassic Park (1993),18.73219814241486,3.75,48,Action|Adventure|Sci-Fi|Thriller
1704,Good Will Hunting (1997),18.692861691149023,4.078014184397163,49,Drama|Romance
79132,Inception (2010),18.674402996384423,4.066433566433567,50,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
904,Rear Window (1954),18.6343063541206,4.261904761904762,51,Mystery|Thriller
150,Apollo 13 (1995),18.5998028433683,3.845771144278607,52,Adventure|Drama|IMAX
1104,"Streetcar Named Desire, A (1951)",18.595046439628483,4.475,53,Drama
364,"Lion King, The (1994)",18.58013535891713,3.941860465116279,54,Adventure|Animation|Children|Drama|Musical|IMAX
3147,"Green Mile, The (1999)",18.55744289180821,4.148648648648648,55,Crime|Drama
1291,Indiana Jones and the Last Crusade (1989),18.55258735072977,4.046428571428572,56,Action|Adventure
541,Blade Runner (1982),18.547188654748823,4.100806451612903,57,Action|Sci-Fi|Thriller
3578,Gladiator (2000),18.537770897832814,3.9382352941176473,58,Action|Adventure|Drama
2762,"Sixth Sense, The (1999)",18.48563571267966,3.893854748603352,62,Drama|Horror|Mystery
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),18.34453781512605,4.018796992481203,65,Action|Crime|Drama|Thriller
4011,Snatch (2000),18.335730217384068,4.155913978494624,66,Comedy|Crime|Thriller
1214,Alien (1979),18.327176725051952,3.969178082191781,67,Horror|Sci-Fi
1276,Cool Hand Luke (1967),18.29824561403509,4.271929824561403,68,Drama
111,Taxi Driver (1976),18.288402000476303,4.105769230769231,69,Crime|Drama|Thriller
1258,"Shining, The (1980)",18.26525974948164,4.08256880733945,70,Horror
4306,Shrek (2001),18.255417956656345,3.8676470588235294,71,Adventure|Animation|Children|Comedy|Fantasy|Romance
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),18.249172627308635,4.155172413793103,72,Adventure|Animation|Fantasy
1204,Lawrence of Arabia (1962),18.24334365325077,4.3,73,Adventure|Drama|War
2324,Life Is Beautiful (La Vita è bella) (1997),18.233323951590204,4.1477272727272725,74,Comedy|Drama|Romance|War
1222,Full Metal Jacket (1987),18.229618163054692,4.098039215686274,75,Drama|War
6377,Finding Nemo (2003),18.224776584766047,3.9609929078014185,77,Adventure|Animation|Children|Comedy
1225,Amadeus (1984),18.21207430340557,4.184210526315789,78,Drama
68157,Inglourious Basterds (2009),18.18786940613566,4.136363636363637,79,Action|Drama|War
1265,Groundhog Day (1993),18.184892506873933,3.944055944055944,80,Comedy|Fantasy|Romance
588,Aladdin (1992),18.135343179549647,3.792349726775957,84,Adventure|Animation|Children|Comedy|Musical
4995,"Beautiful Mind, A (2001)",18.13003095975232,4.0,85,Drama|Romance
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),18.12590299277605,4.333333333333333,86,Drama|Film-Noir|Romance
60069,WALL·E (2008),18.09609430816861,4.057692307692308,88,Adventure|Animation|Children|Romance|Sci-Fi
6874,Kill Bill: Vol. 1 (2003),18.088814312386265,3.9618320610687023,89,Action|Crime|Thriller
2502,Office Space (1999),18.08770831961004,4.090425531914893,90,Comedy|Crime
1252,Chinatown (1974),18.0858477199979,4.211864406779661,91,Crime|Film-Noir|Mystery|Thriller
1206,"Clockwork Orange, A (1971)",18.07156862745098,3.995833333333333,92,Crime|Drama|Sci-Fi|Thriller
898,"Philadelphia Story, The (1940)",18.061812746877337,4.310344827586207,93,Comedy|Drama|Romance
6016,City of God (Cidade de Deus) (2002),18.04796697626419,4.1466666666666665,94,Action|Adventure|Crime|Drama|Thriller
590,Dances with Wolves (1990),18.042701804727024,3.8353658536585367,95,Adventure|Drama|Western
1200,Aliens (1986),18.028969482529853,3.9642857142857135,96,Action|Adventure|Horror|Sci-Fi
1617,L.A. Confidential (1997),18.01522453799751,4.061855670103093,98,Crime|Film-Noir|Mystery|Thriller
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",18.00283797729618,4.145833333333333,99,Action|Adventure|Western
3468,"Hustler, The (1961)",18.000515995872032,4.333333333333333,100,Drama
778,Trainspotting (1996),17.994324045407637,4.03921568627451,101,Comedy|Crime|Drama
246,Hoop Dreams (1994),17.992847229635956,4.293103448275862,102,Documentary
475,In the Name of the Father (1993),17.96470588235294,4.3,103,Drama
1199,Brazil (1985),17.950254499658918,4.177966101694915,105,Fantasy|Sci-Fi
908,North by Northwest (1959),17.94736842105263,4.184210526315789,106,Action|Adventure|Mystery|Romance|Thriller
3435,Double Indemnity (1944),17.94736842105263,4.323529411764706,107,Crime|Drama|Film-Noir
1235,Harold and Maude (1971),17.932483924743988,4.288461538461538,111,Comedy|Drama|Romance
3275,"Boondock Saints, The (2000)",17.89920080639355,4.22093023255814,112,Action|Crime|Drama|Thriller
68954,Up (2009),17.89830458499189,4.004761904761905,113,Adventure|Animation|Children|Drama
